5	7	1	0	7826.0
4	7	1	0	7689.0
3	7	1	0	6614.0
2	7	1	0	7943.0
1	7	1	0	9597.0
6	7	0	0	2195.0
5	7	0	0	4318.0
4	7	0	0	4497.0
3	7	0	0	3464.0
2	7	0	0	3903.0
1	7	0	0	4490.0
6	7	0	0	2477.0
5	7	1	0	6417.0
4	7	1	0	5872.0
3	7	1	0	6679.0
2	7	1	0	7608.0
1	7	1	0	8792.0
6	7	0	0	2229.0
5	7	0	0	4408.0
4	7	0	0	3960.0
3	7	0	0	3721.0
2	7	0	0	2716.0
1	7	0	0	3462.0
6	7	0	0	2114.0
5	7	1	0	4258.0
4	7	1	0	4343.0
3	7	1	0	4340.0
2	6	1	0	12174.0
1	6	1	0	12237.0
6	6	0	0	2355.0
5	6	0	0	4089.0
4	6	0	0	3995.0
3	6	0	0	4157.0
2	6	0	0	3800.0
1	6	0	0	4040.0
6	6	0	0	2270.0
5	6	1	0	6481.0
4	6	1	0	5732.0
3	6	1	0	7179.0
2	6	1	0	8715.0
1	6	1	0	11492.0
6	6	0	0	2597.0
5	6	0	0	4503.0
4	6	0	0	4195.0
3	6	0	0	3998.0
2	6	0	0	5175.0
1	6	0	0	3925.0
6	6	0	0	2607.0
5	6	1	1	8193.0
3	6	1	1	7409.0
2	6	1	1	8221.0
1	6	1	1	10394.0
6	5	0	0	2414.0
5	5	0	1	4931.0
4	5	0	1	4648.0
3	5	0	1	4692.0
2	5	0	1	4988.0
6	5	0	0	2714.0
5	5	1	0	6850.0
4	5	1	0	6925.0
3	5	1	0	5925.0
2	5	1	0	7383.0
1	5	1	0	9290.0
6	5	0	0	2793.0
5	5	0	0	5255.0
3	5	0	0	4415.0
2	5	0	0	4347.0
1	5	0	0	4299.0
6	5	0	0	2807.0
5	5	1	0	6045.0
4	5	1	0	6841.0
3	5	1	0	5996.0
2	5	1	0	7312.0
1	5	1	0	9175.0
6	5	0	0	3387.0
4	4	1	0	7730.0
3	4	1	0	7617.0
